number,ROI_mean,Vec (V)
572,8.119213579545459,-0.266299
573,8.119460170454548,-0.262841
574,8.11954823863637,-0.259562
575,8.118946534090911,-0.256296
576,8.119092897727272,-0.253099
577,8.119791761363638,-0.249765
578,8.119674715909092,-0.246257
579,8.119205965909092,-0.242774
580,8.119050284090912,-0.239527
581,8.11949460227273,-0.236298
582,8.11909693181818,-0.23289
583,8.1184475,-0.229667
584,8.118805454545454,-0.226284
585,8.118415113636361,-0.223148
586,8.117504318181817,-0.219647
587,8.118117386363638,-0.216461
588,8.117038011363631,-0.21314
589,8.116869829545449,-0.209663
590,8.116549375,-0.206323
591,8.116520965909087,-0.20302
592,8.116928352272724,-0.199704
593,8.117487443181817,-0.196494
594,8.117777499999995,-0.193055
595,8.11738090909091,-0.189628
596,8.116588295454543,-0.186244
597,8.116349659090908,-0.182972
598,8.116472954545456,-0.179712
599,8.115864999999998,-0.176335
600,8.116452556818176,-0.173162
601,8.115565056818179,-0.169679
602,8.116001420454541,-0.16632
603,8.116463352272726,-0.162967
604,8.116248011363634,-0.15977
605,8.115853693181814,-0.156491
606,8.115062670454543,-0.153009
607,8.115042215909092,-0.149699
608,8.114312102272722,-0.146347
609,8.113887670454544,-0.142951
610,8.113868920454543,-0.139524
611,8.113409829545454,-0.136214
612,8.113735965909088,-0.13293
613,8.112879715909086,-0.129614
614,8.113183693181815,-0.126355
615,8.11312068181818,-0.122959
616,8.112627443181815,-0.119742
617,8.11319625,-0.116365
618,8.111316420454544,-0.113012
619,8.111427784090909,-0.109678
620,8.111187443181816,-0.106437
621,8.110885738636364,-0.102973
622,8.110583465909091,-0.0995954
623,8.110116420454546,-0.0961497
624,8.110974545454546,-0.0929396
625,8.111173977272726,-0.0895188
626,8.110896704545457,-0.0862777
627,8.110521136363637,-0.0829622
628,8.110396136363637,-0.0797769
629,8.110583068181823,-0.0763684
630,8.109186988636365,-0.0730716
631,8.108206306818184,-0.0697437
632,8.107838125000002,-0.0663662
633,8.107881875,-0.0630632
634,8.107761988636367,-0.0596857
635,8.107112556818182,-0.0564446
636,8.10766488636364,-0.0530362
637,8.106745,-0.0495906
638,8.106564318181823,-0.0461511
639,8.105988181818182,-0.0429534
640,8.105442159090911,-0.0396999
641,8.106603522727275,-0.0364154
642,8.104888806818181,-0.0331433
643,8.104156420454546,-0.0296543
644,8.103719488636363,-0.0263513
645,8.103024602272727,-0.0230048
646,8.102151875000002,-0.0197265
647,8.10186323863636,-0.0164544
648,8.10362482954546,-0.013108
649,8.103349261363645,-0.00972431
650,8.102886761363644,-0.00640883
651,8.102151534090911,-0.00306237
652,8.102692443181827,0.000364649
653,8.103414602272734,0.00368012
654,8.100406363636369,0.00692123
655,8.099950681818182,0.0102677
656,8.09982625,0.0136265
657,8.100173977272727,0.0170908
658,8.098673977272723,0.0204496
659,8.099117727272725,0.0236163
660,8.098305170454534,0.0269876
661,8.097563124999992,0.0303279
662,8.096994943181809,0.0336991
663,8.096783068181809,0.0370456
664,8.096789829545445,0.0403734
665,8.096762045454534,0.0437075
666,8.09522744318182,0.0470602
667,8.09590698863636,0.0504252
668,8.095329715909093,0.0538027
669,8.094668920454547,0.0571181
670,8.094431420454546,0.0604274
671,8.094101875,0.0637491
672,8.094494602272725,0.0670708
673,8.094040624999998,0.070349
674,8.093687784090909,0.0737079
675,8.093012840909092,0.0769428
676,8.092338920454544,0.0803574
677,8.09254465909091,0.0836171
